rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
2,4,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-11-26
3,1,038554121X,9780385541213,Doubleday,THE STARLESS SEA,Erin Morgenstern,2019-11-26
4,62,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-11-26
5,3,0316485616,9780316485616,"Little, Brown",THE NIGHT FIRE,Michael Connelly,2019-11-26
6,5,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-11-26
7,1,1501190105,9781501190100,Atria,THE FAMILY UPSTAIRS,Lisa Jewell,2019-11-26
8,9,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-11-26
9,7,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-11-26
10,4,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-11-26
11,1,1982129581,9781982129583,Gallery,NOEL STREET,Richard Paul Evans,2019-11-26
12,1,1501171704,9781501171703,Simon & Schuster,KISS THE GIRLS AND MAKE THEM CRY,Mary Higgins Clark,2019-11-26
13,7,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-11-26
14,5,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-11-26
15,1,0525541810,9780525541813,Putnam,FINAL OPTION,Clive Cussler and Boyd Morrison,2019-11-26
1,1,0399593543,9780399593543,Delacorte,BLUE MOON,Lee Child,2019-11-19
2,3,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-11-19
3,2,0316485616,9780316485616,"Little, Brown",THE NIGHT FIRE,Michael Connelly,2019-11-19
4,61,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-11-19
5,1,0374155011,9780374155018,"Farrar, Straus & Giroux",FIND ME,André Aciman,2019-11-19
6,6,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-11-19
7,4,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-11-19
8,8,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-11-19
9,1,1984822136,9781984822130,Crown,THE LOST CAUSES OF BLEAK CREEK,Rhett McLaughlin and Link Neal with Lance Rubin,2019-11-19
10,4,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-11-19
11,6,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-11-19
12,2,1501101757,9781501101755,Simon & Schuster,THE DESERTER,Nelson DeMille and Alex DeMille,2019-11-19
13,8,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-11-19
14,4,1250313074,9781250313072,Flatiron,NINTH HOUSE,Leigh Bardugo,2019-11-19
15,3,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-11-19
1,1,0316485616,9780316485616,"Little, Brown",THE NIGHT FIRE,Michael Connelly,2019-11-12
2,2,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-11-12
3,60,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-11-12
4,1,1501101757,9781501101755,Simon & Schuster,THE DESERTER,Nelson DeMille and Alex DeMille,2019-11-12
5,1,1984878875,9781984878878,Viking,AGENT RUNNING IN THE FIELD,John le Carré,2019-11-12
6,3,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-11-12
7,5,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-11-12
8,5,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-11-12
9,7,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-11-12
10,7,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-11-12
11,1,0316251305,9780316251303,Orbit,THE BURNING WHITE,Brent Weeks,2019-11-12
12,1,1524747823,9781524747824,Pantheon,TO THE LAND OF LONG LOST FRIENDS,Alexander McCall Smith,2019-11-12
13,2,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-11-12
14,3,1250313074,9781250313072,Flatiron,NINTH HOUSE,Leigh Bardugo,2019-11-12
15,3,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-11-12
1,1,0385544189,9780385544184,Doubleday,THE GUARDIANS,John Grisham,2019-11-05
2,59,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-11-05
3,2,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-11-05
4,4,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-11-05
5,6,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-11-05
6,1,0812996542,9780812996548,Random House,"OLIVE, AGAIN",Elizabeth Strout,2019-11-05
7,4,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-11-05
8,6,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-11-05
9,2,1250313074,9781250313072,Flatiron,NINTH HOUSE,Leigh Bardugo,2019-11-05
10,2,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-11-05
11,3,0525536612,9780525536611,Putnam,BLOODY GENIUS,John Sandford,2019-11-05
12,2,0316435570,9780316435574,"Little, Brown",WHAT HAPPENS IN PARADISE,Elin Hilderbrand,2019-11-05
13,4,1501190628,9781501190629,Emily Bestler/Atria,VINCE FLYNN: LETHAL AGENT,Kyle Mills,2019-11-05
14,3,1250265703,9781250265708,St. Martin's,CILKA'S JOURNEY,Heather Morris,2019-11-05
15,2,039917950X,9780399179501,Delacorte,CHILD'S PLAY,Danielle Steel,2019-11-05
1,1,0316420271,9780316420273,"Little, Brown",THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,2019-10-29
2,58,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-10-29
3,1,0316435570,9780316435574,"Little, Brown",WHAT HAPPENS IN PARADISE,Elin Hilderbrand,2019-10-29
4,1,1250313074,9781250313072,Flatiron,NINTH HOUSE,Leigh Bardugo,2019-10-29
5,5,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-10-29
6,3,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-10-29
7,3,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-10-29
8,5,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-10-29
9,1,039917950X,9780399179501,Delacorte,CHILD'S PLAY,Danielle Steel,2019-10-29
10,1,0399562486,9780399562488,Pamela Dorman/Viking,THE GIVER OF STARS,Jojo Moyes,2019-10-29
11,2,0525536612,9780525536611,Putnam,BLOODY GENIUS,John Sandford,2019-10-29
12,3,1501190628,9781501190629,Emily Bestler/Atria,VINCE FLYNN: LETHAL AGENT,Kyle Mills,2019-10-29
13,2,1250265703,9781250265708,St. Martin's,CILKA'S JOURNEY,Heather Morris,2019-10-29
14,2,1538731339,9781538731338,Grand Central,IMAGINARY FRIEND,Stephen Chbosky,2019-10-29
15,6,1629996297,9781629996295,Front Line,THE ORACLE,Jonathan Cahn,2019-10-29
1,2,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-10-22
2,4,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-10-22
3,57,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-10-22
4,2,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-10-22
5,1,0525536612,9780525536611,Putnam,BLOODY GENIUS,John Sandford,2019-10-22
6,4,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-10-22
7,2,1501190628,9781501190629,Emily Bestler/Atria,VINCE FLYNN: LETHAL AGENT,Kyle Mills,2019-10-22
8,1,1250265703,9781250265708,St. Martin's,CILKA'S JOURNEY,Heather Morris,2019-10-22
9,1,0062200674,9780062200679,Morrow,FULL THROTTLE,Joe Hill,2019-10-22
10,1,1538731339,9781538731338,Grand Central,IMAGINARY FRIEND,Stephen Chbosky,2019-10-22
11,1,0399181393,9780399181399,Ballantine,A MRS. MIRACLE CHRISTMAS,Debbie Macomber,2019-10-22
12,6,0451494342,9780451494344,Knopf,THE GIRL WHO LIVED TWICE,David Lagercrantz,2019-10-22
13,5,1629996297,9781629996295,Front Line,THE ORACLE,Jonathan Cahn,2019-10-22
14,3,0525535276,9780525535270,Riverhead,RED AT THE BONE,Jacqueline Woodson,2019-10-22
15,5,0525656154,9780525656159,Knopf,THE SECRETS WE KEPT,Lara Prescott,2019-10-22
1,1,0399590595,9780399590597,One World,THE WATER DANCER,Ta-Nehisi Coates,2019-10-15
2,3,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-10-15
3,3,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-10-15
4,1,1501190628,9781501190629,Emily Bestler/Atria,VINCE FLYNN: LETHAL AGENT,Kyle Mills,2019-10-15
5,56,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-10-15
6,1,0062963678,9780062963673,Harper,THE DUTCH HOUSE,Ann Patchett,2019-10-15
7,5,0451494342,9780451494344,Knopf,THE GIRL WHO LIVED TWICE,David Lagercrantz,2019-10-15
8,3,0316420298,9780316420297,"Little, Brown",KILLER INSTINCT,James Patterson and Howard Roughan,2019-10-15
9,4,1629996297,9781629996295,Front Line,THE ORACLE,Jonathan Cahn,2019-10-15
10,4,0525656154,9780525656159,Knopf,THE SECRETS WE KEPT,Lara Prescott,2019-10-15
11,2,0525535276,9780525535270,Riverhead,RED AT THE BONE,Jacqueline Woodson,2019-10-15
12,11,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-10-15
13,1,1982138017,9781501137570,Simon & Schuster,THE WORLD THAT WE KNEW,Alice Hoffman,2019-10-15
14,3,0735217262,9780735217263,Putnam,THE TITANIC SECRET,Clive Cussler and Jack Du Brul,2019-10-15
15,5,1250066212,9781250066213,Minotaur,A BETTER MAN,Louise Penny,2019-10-15
1,2,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-10-08
2,2,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-10-08
3,55,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-10-08
4,1,0525522506,9780525522508,Viking,LAND OF WOLVES,Craig Johnson,2019-10-08
5,4,0451494342,9780451494344,Knopf,THE GIRL WHO LIVED TWICE,David Lagercrantz,2019-10-08
6,3,1629996297,9781629996295,Front Line,THE ORACLE,Jonathan Cahn,2019-10-08
7,2,0316420298,9780316420297,"Little, Brown",KILLER INSTINCT,James Patterson and Howard Roughan,2019-10-08
8,1,0525535276,9780525535270,Riverhead,RED AT THE BONE,Jacqueline Woodson,2019-10-08
9,2,0735217262,9780735217263,Putnam,THE TITANIC SECRET,Clive Cussler and Jack Du Brul,2019-10-08
10,4,1250066212,9781250066213,Minotaur,A BETTER MAN,Louise Penny,2019-10-08
11,10,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-10-08
12,3,0525656154,9780525656159,Knopf,THE SECRETS WE KEPT,Lara Prescott,2019-10-08
13,3,1250207177,9781250207173,St. Martin's,VENDETTA IN DEATH,JD Robb,2019-10-08
14,3,1476749299,9781476749297,Atria,THIS TENDER LAND,William Kent Krueger,2019-10-08
15,1,031618716X,9780316187169,Orbit,A LITTLE HATRED,Joe Abercrombie,2019-10-08
1,1,0385543786,9780385543781,Nan A. Talese/Doubleday,THE TESTAMENTS,Margaret Atwood,2019-10-01
2,1,1982110562,9781982110567,Scribner,THE INSTITUTE,Stephen King,2019-10-01
3,54,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-10-01
4,1,0316420298,9780316420297,"Little, Brown",KILLER INSTINCT,James Patterson and Howard Roughan,2019-10-01
5,2,1629996297,9781629996295,Front Line,THE ORACLE,Jonathan Cahn,2019-10-01
6,3,0451494342,9780451494344,Knopf,THE GIRL WHO LIVED TWICE,David Lagercrantz,2019-10-01
7,1,0735217262,9780735217263,Putnam,THE TITANIC SECRET,Clive Cussler and Jack Du Brul,2019-10-01
8,2,1250207177,9781250207173,St. Martin's,VENDETTA IN DEATH,JD Robb,2019-10-01
9,3,1250066212,9781250066213,Minotaur,A BETTER MAN,Louise Penny,2019-10-01
10,2,0525656154,9780525656159,Knopf,THE SECRETS WE KEPT,Lara Prescott,2019-10-01
11,9,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-10-01
12,2,1476749299,9781476749297,Atria,THIS TENDER LAND,William Kent Krueger,2019-10-01
13,3,0399179410,9780399179419,Delacorte,THE DARK SIDE,Danielle Steel,2019-10-01
14,8,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-10-01
15,1,059313298X,9780593132982,Random House,QUICHOTTE,Salman Rushdie,2019-10-01
1,53,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-09-24
2,1,1250207177,9781250207173,St. Martin's,VENDETTA IN DEATH,JD Robb,2019-09-24
3,1,1476749299,9781476749297,Atria,THIS TENDER LAND,William Kent Krueger,2019-09-24
4,1,1629996297,9781629996295,Front Line,THE ORACLE,Jonathan Cahn,2019-09-24
5,2,1250066212,9781250066213,Minotaur,A BETTER MAN,Louise Penny,2019-09-24
6,2,0451494342,9780451494344,Knopf,THE GIRL WHO LIVED TWICE,David Lagercrantz,2019-09-24
7,1,0525656154,9780525656159,Knopf,THE SECRETS WE KEPT,Lara Prescott,2019-09-24
8,5,0316527580,9780316527583,"Little, Brown",THE INN,James Patterson and Candice Fox,2019-09-24
9,2,0399179410,9780399179419,Delacorte,THE DARK SIDE,Danielle Steel,2019-09-24
10,5,1501188771,9781501188770,Scout,THE TURN OF THE KEY,Ruth Ware,2019-09-24
11,1,1984803468,9781984803467,Berkley,DARK ILLUSION,Christine Feehan,2019-09-24
12,7,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-09-24
13,8,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-09-24
14,3,1538747227,9781538747223,Grand Central,OLD BONES,Douglas Preston and Lincoln Child,2019-09-24
15,27,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2019-09-24
1,1,1250066212,9781250066213,Minotaur,A BETTER MAN,Louise Penny,2019-09-17
2,52,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-09-17
3,1,0451494342,9780451494344,Knopf,THE GIRL WHO LIVED TWICE,David Lagercrantz,2019-09-17
4,1,0399179410,9780399179419,Delacorte,THE DARK SIDE,Danielle Steel,2019-09-17
5,4,0316527580,9780316527583,"Little, Brown",THE INN,James Patterson and Candice Fox,2019-09-17
6,6,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-09-17
7,7,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-09-17
8,4,1501188771,9781501188770,Scout,THE TURN OF THE KEY,Ruth Ware,2019-09-17
9,26,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2019-09-17
10,2,1538747227,9781538747223,Grand Central,OLD BONES,Douglas Preston and Lincoln Child,2019-09-17
11,7,1982106980,9781982106980,Scribner,"ASK AGAIN, YES",Mary Beth Keane,2019-09-17
12,3,1250051053,9781250051059,Minotaur,THE BITTERROOTS,CJ Box,2019-09-17
13,3,0812992865,9780812992861,Random House,INLAND,Téa Obreht,2019-09-17
14,4,1455572195,9781455572199,Grand Central,OUTFOX,Sandra Brown,2019-09-17
15,6,0062834835,9780062834836,Harper,THE NEW GIRL,Daniel Silva,2019-09-17
1,51,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-09-10
2,1,1538747227,9781538747223,Grand Central,OLD BONES,Douglas Preston and Lincoln Child,2019-09-10
3,3,0316527580,9780316527583,"Little, Brown",THE INN,James Patterson and Candice Fox,2019-09-10
4,5,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-09-10
5,6,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-09-10
6,3,1501188771,9781501188770,Scout,THE TURN OF THE KEY,Ruth Ware,2019-09-10
7,1,0062858084,9780062858085,Morrow,THE LAST WIDOW,Karin Slaughter,2019-09-10
8,2,1250051053,9781250051059,Minotaur,THE BITTERROOTS,CJ Box,2019-09-10
9,2,0812992865,9780812992861,Random House,INLAND,Téa Obreht,2019-09-10
10,1,1250317991,9781250317995,Celadon,THE WHISPER MAN,Alex North,2019-09-10
11,3,1455572195,9781455572199,Grand Central,OUTFOX,Sandra Brown,2019-09-10
12,25,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2019-09-10
13,1,1501187155,9781501187155,Atria,TIDELANDS,Philippa Gregory,2019-09-10
14,7,0525619240,9780525619246,Ballantine,EVVIE DRAKE STARTS OVER,Linda Holmes,2019-09-10
15,6,1982106980,9781982106980,Scribner,"ASK AGAIN, YES",Mary Beth Keane,2019-09-10
1,50,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-09-03
2,2,0316527580,9780316527583,"Little, Brown",THE INN,James Patterson and Candice Fox,2019-09-03
3,1,1250051053,9781250051059,Minotaur,THE BITTERROOTS,CJ Box,2019-09-03
4,4,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-09-03
5,5,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-09-03
6,2,1501188771,9781501188770,Scout,THE TURN OF THE KEY,Ruth Ware,2019-09-03
7,5,0062834835,9780062834836,Harper,THE NEW GIRL,Daniel Silva,2019-09-03
8,2,1455572195,9781455572199,Grand Central,OUTFOX,Sandra Brown,2019-09-03
9,3,1101947748,9781101947746,Knopf,CHANCES ARE ...,Richard Russo,2019-09-03
10,1,059308313X,9780593083130,Putnam,CONTRABAND,Stuart Woods,2019-09-03
11,6,0525619240,9780525619246,Ballantine,EVVIE DRAKE STARTS OVER,Linda Holmes,2019-09-03
12,1,0812992865,9780812992861,Random House,INLAND,Téa Obreht,2019-09-03
13,9,0316420018,9780316420013,"Little, Brown",SUMMER OF '69,Elin Hilderbrand,2019-09-03
14,2,0525535683,9780525535683,Putnam,A DANGEROUS MAN,Robert Crais,2019-09-03
15,1,1250047323,9781250047328,St. Martin's,THINGS YOU SAVE IN A FIRE,Katherine Center,2019-09-03
1,49,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-08-27
2,1,0316527580,9780316527583,"Little, Brown",THE INN,James Patterson and Candice Fox,2019-08-27
3,1,1501188771,9781501188770,Scout,THE TURN OF THE KEY,Ruth Ware,2019-08-27
4,3,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-08-27
5,1,1455572195,9781455572199,Grand Central,OUTFOX,Sandra Brown,2019-08-27
6,4,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-08-27
7,1,0525535683,9780525535683,Putnam,A DANGEROUS MAN,Robert Crais,2019-08-27
8,4,0062834835,9780062834836,Harper,THE NEW GIRL,Daniel Silva,2019-08-27
9,8,0316420018,9780316420013,"Little, Brown",SUMMER OF '69,Elin Hilderbrand,2019-08-27
10,2,1101947748,9781101947746,Knopf,CHANCES ARE ...,Richard Russo,2019-08-27
11,10,1594634734,9781594634734,Riverhead,CITY OF GIRLS,Elizabeth Gilbert,2019-08-27
12,5,0525619240,9780525619246,Ballantine,EVVIE DRAKE STARTS OVER,Linda Holmes,2019-08-27
13,5,1250207096,9781250207098,St. Martin's,UNDER CURRENTS,Nora Roberts,2019-08-27
14,4,1501165372,9781501165375,Simon & Schuster,THE LAST HOUSE GUEST,Megan Miranda,2019-08-27
15,5,1982106980,9781982106980,Scribner,"ASK AGAIN, YES",Mary Beth Keane,2019-08-27
1,48,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-08-20
2,2,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-08-20
3,3,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-08-20
4,3,0062834835,9780062834836,Harper,THE NEW GIRL,Daniel Silva,2019-08-20
5,1,0425285944,9780425285947,Del Rey,DARK AGE,Pierce Brown,2019-08-20
6,7,0316420018,9780316420013,"Little, Brown",SUMMER OF '69,Elin Hilderbrand,2019-08-20
7,1,1501193651,9781501193651,Gallery,LABYRINTH,Catherine Coulter,2019-08-20
8,1,1101947748,9781101947746,Knopf,CHANCES ARE ...,Richard Russo,2019-08-20
9,4,1250207096,9781250207098,St. Martin's,UNDER CURRENTS,Nora Roberts,2019-08-20
10,9,1594634734,9781594634734,Riverhead,CITY OF GIRLS,Elizabeth Gilbert,2019-08-20
11,4,1982106980,9781982106980,Scribner,"ASK AGAIN, YES",Mary Beth Keane,2019-08-20
12,1,0525557652,9780525557654,Pamela Dorman/Viking,SOMEONE WE KNOW,Shari Lapena,2019-08-20
13,3,0399181334,9780399181337,Ballantine,WINDOW ON THE BAY,Debbie Macomber,2019-08-20
14,3,1501165372,9781501165375,Simon & Schuster,THE LAST HOUSE GUEST,Megan Miranda,2019-08-20
15,2,0062390015,9780062390011,Morrow,LADY IN THE LAKE,Laura Lippman,2019-08-20
1,1,1538750562,9781538750568,Grand Central,ONE GOOD DEED,David Baldacci,2019-08-13
2,47,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-08-13
3,2,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-08-13
4,2,0062834835,9780062834836,Harper,THE NEW GIRL,Daniel Silva,2019-08-13
5,1,1984820982,9781984820983,Del Rey,THRAWN: TREASON,Timothy Zahn,2019-08-13
6,6,0316420018,9780316420013,"Little, Brown",SUMMER OF '69,Elin Hilderbrand,2019-08-13
7,3,1250207096,9781250207098,St. Martin's,UNDER CURRENTS,Nora Roberts,2019-08-13
8,2,0399181334,9780399181337,Ballantine,WINDOW ON THE BAY,Debbie Macomber,2019-08-13
9,8,1594634734,9781594634734,Riverhead,CITY OF GIRLS,Elizabeth Gilbert,2019-08-13
10,3,1982106980,9781982106980,Scribner,"ASK AGAIN, YES",Mary Beth Keane,2019-08-13
11,24,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2019-08-13
12,5,1982104031,9781982104030,Emily Bestler/Atria,BACKLASH,Brad Thor,2019-08-13
13,1,0062390015,9780062390011,Morrow,LADY IN THE LAKE,Laura Lippman,2019-08-13
14,7,1501133489,9781501133480,Atria,MRS. EVERYTHING,Jennifer Weiner,2019-08-13
15,3,031653126X,9780316531269,"Mulholland/Little, Brown",THE CHAIN,Adrian McKinty,2019-08-13
1,1,0062834835,9780062834836,Harper,THE NEW GIRL,Daniel Silva,2019-08-06
2,46,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2019-08-06
3,1,0385537077,9780385537070,Doubleday,THE NICKEL BOYS,Colson Whitehead,2019-08-06
4,2,1250207096,9781250207098,St. Martin's,UNDER CURRENTS,Nora Roberts,2019-08-06
5,5,0316420018,9780316420013,"Little, Brown",SUMMER OF '69,Elin Hilderbrand,2019-08-06
6,1,0399181334,9780399181337,Ballantine,WINDOW ON THE BAY,Debbie Macomber,2019-08-06
7,4,0525619240,9780525619246,Ballantine,EVVIE DRAKE STARTS OVER,Linda Holmes,2019-08-06
8,7,1594634734,9781594634734,Riverhead,CITY OF GIRLS,Elizabeth Gilbert,2019-08-06
9,4,1982104031,9781982104030,Emily Bestler/Atria,BACKLASH,Brad Thor,2019-08-06
10,6,1501133489,9781501133480,Atria,MRS. EVERYTHING,Jennifer Weiner,2019-08-06
11,23,1250301696,9781250301697,Celadon,THE SILENT PATIENT,Alex Michaelides,2019-08-06
12,2,031653126X,9780316531269,"Mulholland/Little, Brown",THE CHAIN,Adrian McKinty,2019-08-06
